condition,seed,max_rotation_deg,test_acc,test_macro_f1,best_val_acc
rot10,19,10.0,0.6029055690072639,0.5888841434745287,0.6647058823529411
rot10,20,10.0,0.5988700564971752,0.5906434559944224,0.6764705882352942
rot10,21,10.0,0.6222760290556901,0.6092778972698069,0.6617647058823529
rot10,22,10.0,0.6150121065375302,0.60700670513178,0.6852941176470588
rot10,23,10.0,0.612590799031477,0.6113307457307176,0.6764705882352942
rot10,24,10.0,0.6263115415657788,0.6168116188706152,0.7029411764705882
rot10,25,10.0,0.6255044390637611,0.6199814388255143,0.6764705882352942
rot10,26,10.0,0.585956416464891,0.5793443854623207,0.6647058823529411
rot10,27,10.0,0.6174334140435835,0.6098227914877367,0.6764705882352942
rot10,28,10.0,0.6085552865213882,0.6010920005084077,0.6735294117647059
rot10,29,10.0,0.6142050040355125,0.6031121504246686,0.6970588235294117
rot10,30,10.0,0.6182405165456013,0.6071573092607424,0.7
rot10,31,10.0,0.615819209039548,0.6104698805583587,0.6676470588235294
rot10,32,10.0,0.612590799031477,0.6023346385300283,0.7205882352941176
rot10,33,10.0,0.6020984665052461,0.5975684580507975,0.7029411764705882
rot10,34,10.0,0.6255044390637611,0.61539121929088,0.6735294117647059
rot10,35,10.0,0.6206618240516546,0.613045726451356,0.6705882352941176
rot10,36,10.0,0.6190476190476191,0.6060431579646274,0.7
rot10,37,10.0,0.6230831315577078,0.6175095924122738,0.7
rot10,38,10.0,0.606133979015335,0.5990826292831987,0.6764705882352942
rot10,39,10.0,0.6311541565778854,0.6242276103766055,0.6705882352941176
rot10,40,10.0,0.5932203389830508,0.584621898053216,0.7029411764705882
rot10,41,10.0,0.6085552865213882,0.5971051649793361,0.6823529411764706
rot10,42,10.0,0.6174334140435835,0.6085871934316271,0.6735294117647059
rot10,43,10.0,0.6077481840193705,0.5998951647538574,0.6647058823529411
rot10,44,10.0,0.5948345439870864,0.5871424971765479,0.6705882352941176
rot10,45,10.0,0.6198547215496368,0.609495259056744,0.6823529411764706
rot20,1,20.0,0.6190476190476191,0.6132051816798091,0.6676470588235294
rot20,2,20.0,0.6279257465698144,0.6237494506178063,0.6735294117647059
rot20,3,20.0,0.5948345439870864,0.5873969345524466,0.7
rot20,4,20.0,0.6368038740920097,0.6265172554271302,0.6705882352941176
rot20,5,20.0,0.585956416464891,0.5716398297191209,0.6882352941176471
rot20,6,20.0,0.6166263115415658,0.607638782380403,0.6735294117647059
rot20,7,20.0,0.6037126715092817,0.5971422666573118,0.6970588235294117
rot20,8,20.0,0.6230831315577078,0.6121041864699093,0.6676470588235294
rot20,9,20.0,0.6238902340597255,0.6129666623490139,0.7029411764705882
rot20,10,20.0,0.6335754640839386,0.6283027194650036,0.7058823529411765
rot20,11,20.0,0.606133979015335,0.5959767851700322,0.711764705882353
rot20,12,20.0,0.615819209039548,0.6091953205550718,0.6882352941176471
rot20,13,20.0,0.6085552865213882,0.6019333655946272,0.6617647058823529
rot20,14,20.0,0.6279257465698144,0.6182384402416065,0.6882352941176471
rot20,15,20.0,0.5980629539951574,0.5862099825030669,0.6558823529411765
rot20,16,20.0,0.6214689265536724,0.6112185346890494,0.6911764705882353
rot20,17,20.0,0.6182405165456013,0.6111153132104706,0.6794117647058824
rot20,18,20.0,0.6109765940274415,0.6024888229937856,0.6705882352941176
rot20,19,20.0,0.6319612590799032,0.619539538343331,0.6911764705882353
rot20,20,20.0,0.6029055690072639,0.5980114620728494,0.6676470588235294
rot20,21,20.0,0.6077481840193705,0.5970091891176523,0.6794117647058824
rot20,22,20.0,0.6166263115415658,0.6074661463244003,0.6823529411764706
rot20,23,20.0,0.615819209039548,0.6054380736436281,0.6911764705882353
rot20,24,20.0,0.6319612590799032,0.6193592045143734,0.7235294117647059
rot20,25,20.0,0.615819209039548,0.610648921551474,0.6823529411764706
rot20,26,20.0,0.6238902340597255,0.61357150948186,0.6823529411764706
rot20,27,20.0,0.6263115415657788,0.6168051343187527,0.7147058823529412
rot20,28,20.0,0.6222760290556901,0.6164289500203227,0.7058823529411765
rot20,29,20.0,0.6279257465698144,0.6213067451621006,0.7058823529411765
rot20,30,20.0,0.6069410815173527,0.594567499803771,0.6705882352941176
rot20,31,20.0,0.6230831315577078,0.6112230350681258,0.6794117647058824
rot20,32,20.0,0.6166263115415658,0.6084531808655771,0.6970588235294117
rot20,33,20.0,0.6182405165456013,0.6103219168637725,0.6911764705882353
rot20,34,20.0,0.6037126715092817,0.5946137266445899,0.6735294117647059
rot20,35,20.0,0.6053268765133172,0.594916153282785,0.6558823529411765
rot20,36,20.0,0.6142050040355125,0.6044101575232704,0.7029411764705882
rot20,37,20.0,0.6230831315577078,0.6159335459406198,0.7147058823529412
rot20,38,20.0,0.6029055690072639,0.5923700269919198,0.6705882352941176
rot20,39,20.0,0.6166263115415658,0.6081133092303534,0.6794117647058824
rot20,40,20.0,0.6174334140435835,0.6089293958817321,0.6764705882352942
rot20,41,20.0,0.6271186440677966,0.6201006050309167,0.6676470588235294
rot20,42,20.0,0.6004842615012107,0.5904568177644934,0.7029411764705882
rot20,43,20.0,0.6287328490718321,0.6209365713999939,0.6823529411764706
rot20,44,20.0,0.6246973365617433,0.6121278960113335,0.7
rot20,45,20.0,0.6133979015334947,0.6072931231936088,0.7058823529411765
